 Name,Description,Price,tipo
Fruta + leche tropical Bifrutas Pascual,"6 mini bricks x 200 ml | 1,992 €/L",2.39, Desayuno
Fruta + leche Caribe Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0, Desayuno
Fruta + leche Mediterráneo Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0, Desayuno
Fruta + leche Mediterráneo Hacendado,"3 mini bricks x 330 ml | 0,91 €/L",0.9, Desayuno
Fruta + leche Mediterráneo Hacendado,"Brick 1 L | 0,80 €/L",0.8, Desayuno
Fruta + leche tropical Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0, Desayuno
Fruta + leche tropical Hacendado,"3 mini bricks x 330 ml | 0,91 €/L",0.9, Desayuno
Fruta + leche tropical Hacendado,"Brick 1 L | 0,80 €/L",0.8, Desayuno
Yogur infantil cremoso de fresa Go-Lácteo +8 meses Hacendado,"4 ud. x 110 g | 5,682 €/kg",2.5, Desayuno
Yogur infantil cremoso de manzana y pera Go-Lácteo +8 meses Hacendado,"4 ud. x 110 g | 5,682 €/kg",2.5, Desayuno
Natillas infantiles con galletas Hacendado +6 meses,"2 ud. x 130 g | 6,154 €/kg",1.6, Desayuno Entre_horas
Postre lácteo infantil de plátano Yogolino +6 meses Nestlé,"4 ud. x 100 g | 6,875 €/kg",2.75, Desayuno Comida_Cena
Yogur líquido infantil natural Go-Lácteo +6 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5, Desayuno
Yogur líquido infantil con cereales y miel Go-Lácteo +8 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5, Desayuno
Yogur líquido infantil de pera Go-Lácteo +6 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5, Desayuno
Yogur líquido infantil de fresa y plátano Go-Lácteo +8 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5, Desayuno
Petit de chocolate con leche Hacendado,"6 ud. x 60 g | 3,056 €/kg",1.1, Desayuno Comida_Cena Entre_horas
Petit Nesquik Nestlé,"6 ud. x 60 g | 4,028 €/kg",1.45, Desayuno
Petit sabores Hacendado,"12 ud. x 60 g | 1,737 €/kg",1.25, Desayuno
Danonino sabor fresa y plátano Danone,"6 ud. x 50 g | 4,634 €/kg",1.39, Desayuno
Danonino sabor fresa Danone,"6 ud. x 50 g | 4,634 €/kg",1.39, Desayuno
Petit de bolsillo de fresa Hacendado,"Caja 4 ud. (360 g) | 4,028 €/kg",1.45, Desayuno
Yogur sin lactosa sabor fresa Hacendado,"4 ud. x 125 g | 2,80 €/kg",1.4, Desayuno
Yogur sabor plátano Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6, Desayuno
Yogur sabor coco Danone,"4 ud. x 120 g | 2,896 €/kg",1.39, Desayuno
Yogur sabor limón Danone,"4 ud. x 120 g | 2,896 €/kg",1.39, Desayuno
"Yogur con frutas Hacendado 2 con melocotón, 2 con fresas, 2 con pera y 2 con frutos silvestres","8 ud. x 125 g | 1,80 €/kg",1.8, Desayuno
Yogur sabor coco Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6, Desayuno
Yogur sabor macedonia Danone,"4 ud. x 120 g | 2,896 €/kg",1.39, Desayuno Comida_Cena
Yogur cremoso Hacendado con melocotón y maracuya,"Bote 500 g | 1,84 €/kg",0.92, Desayuno
Yogur cremoso Hacendado con frutos silvestres,"Bote 500 g | 1,84 €/kg",0.92, Desayuno
Yogur sabor fresa Danone,"4 ud. x 120 g | 2,896 €/kg",1.39, Desayuno
Yogur sabor macedonia Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6, Desayuno Comida_Cena
Yogur sabor limón Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6, Desayuno
Yogur sabor fresa Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6, Desayuno
"Yogur sabores Hacendado 2 fresa, 2 plátano, 2 frambuesa, 2 coco, 2 limón, 2 piña, 2 vainilla y 2 galleta","16 ud. x 125 g | 1,075 €/kg",2.15, Desayuno Comida_Cena Entre_horas
Yogur natural de cabra Hacendado,"4 ud. x 125 g | 4,10 €/kg",2.05, Desayuno
Kéfir natural sabor suave,"Bote 500 g | 2,80 €/kg",1.4, Desayuno
Yogur natural Danone,"8 ud. x 120 g | 2,49 €/kg",2.39, Desayuno
Yogur natural Hacendado,"6 ud. x 125 g | 1,134 €/kg",0.85, Desayuno
"Yogur sin lactosa Hacendado cremoso, natural y azucarado","4 ud. x 125 g | 2,80 €/kg",1.4, Desayuno
Yogur natural con azúcar de caña Hacendado,"6 ud. x 125 g | 1,134 €/kg",0.85, Desayuno Entre_horas
Kéfir bebible natural Hacendado 0% m.g,"Botella 250 g | 3,40 €/kg",0.85, Desayuno Comida_Cena
Bebida Kéfir de coco Hacendado,"Botella 250 g | 4,20 €/kg",1.05, Desayuno
Bebida láctea sabor fresa Densia 0% m.g Vitalinea,"4 mini botellas x 100 g | 4,975 €/kg",1.99, Desayuno Comida_Cena
Bebida láctea natural Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65, Comida_Cena
Bebida láctea tropical Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea natural Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea de fresa Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea de fresa Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65, Desayuno Comida_Cena
Bebida láctea sabor fresa Densia 0% m.g Vitalinea,"4 mini botellas x 100 g | 4,975 €/kg",1.99, Desayuno Comida_Cena
Bebida láctea natural Actimel 0% m.g Danone,"12 mini botellas x 100 g | 4,575 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea natural Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65, Comida_Cena
Bebida láctea tropical Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea de fresa Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49, Desayuno Comida_Cena
Bebida láctea natural Actimel Danone,"12 mini botellas x 100 g | 4,575 €/kg",5.49, Desayuno
Bebida láctea de fresa L-casei 0% m.g 0% azúcares añadidos Hacendado,"6 mini botellas x 100 g | 2,917 €/kg",1.75, Desayuno Comida_Cena
Bebida láctea de fresa Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65, Desayuno Comida_Cena
Bebida láctea natural azucarada L-casei Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25,
Bebida láctea sabores L-casei 6 fresa/plátano y 6 piña/coco Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25,
Bebida láctea de fresa L-casei Hacendado,"12 mini botellas x 100 g | 1,875 €/kg",2.25, Desayuno
Yogur líquido sabor Stracciatella Hacendado,"4 botellas x 160 g | 2,579 €/kg",1.65, Desayuno
Yogur líquido +Proteínas desnatado sabor tropical Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0, Desayuno Comida_Cena
Bebida láctea +Proteínas sabor vainilla Hacendado 26 g proteínas,"Brick 330 ml | 3,485 €/L",1.15, Comida_Cena
Bebida láctea +Proteínas sabor chocolate Hacendado 26 g proteínas,"Brick 330 ml | 3,485 €/L",1.15, Comida_Cena Entre_horas
Yogur líquido +Proteínas desnatado sabor fresa Hacendado 0% m.g 20 g proteínas,"Botella 280 g | 3,572 €/kg",1.0, Desayuno Comida_Cena
