 Name,Description,Price,tipo
"Bebida de zumo de naranja, mango y zanahoria La Verja sin azúcares añadidos","Botella 1,5 L | 0,867 €/L",1.3,[' Zumos Frutas Verduras Bebidas Proteicos Hortalizas']
Bebida tropical Hacendado sin azúcares añadidos,"Brick 1 L | 0,65 €/L",0.65,[' Zumos Bebidas Proteicos']
Bebida Bahamas Hacendado,"Brick 2 L | 0,50 €/L",1.0,[' Bebidas']
Fruta + leche naranja y mango Hacendado sin azúcares añadidos,"3 mini bricks x 330 ml | 1,263 €/L",1.25,[' Zumos Frutas Lacteos Proteicos Desayunos']
Fruta + leche melón y sandía Hacendado,"6 mini bricks x 200 ml | 1,167 €/L",1.4,[' Zumos Frutas Lacteos Desayunos']
Fruta + leche melón y sandía Hacendado,"Brick 1 L | 1,15 €/L",1.15,[' Zumos Frutas Lacteos Desayunos']
Fruta + leche Caribe Don Simón zero materia grasa,"6 mini bricks x 200 ml | 1,25 €/L",1.5,[' Zumos Lacteos Grasas Desayunos']
Fruta + leche tropical Bifrutas Pascual,"3 mini bricks x 330 ml | 2,415 €/L",2.39,[' Zumos Lacteos Desayunos']
Fruta + leche tropical Bifrutas Pascual,"6 mini bricks x 200 ml | 1,992 €/L",2.39,[' Zumos Lacteos Desayunos']
Fruta + leche Caribe Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0,[' Zumos Lacteos Desayunos']
Fruta + leche Mediterráneo Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0,[' Zumos Lacteos Desayunos']
Fruta + leche Mediterráneo Hacendado,"3 mini bricks x 330 ml | 0,91 €/L",0.9,[' Zumos Lacteos Desayunos']
Fruta + leche Mediterráneo Hacendado,"Brick 1 L | 0,80 €/L",0.8,[' Zumos Lacteos Desayunos']
Fruta + leche tropical Hacendado,"6 mini bricks x 200 ml | 0,834 €/L",1.0,[' Zumos Lacteos Desayunos']
Fruta + leche tropical Hacendado,"3 mini bricks x 330 ml | 0,91 €/L",0.9,[' Zumos Lacteos Desayunos']
Fruta + leche tropical Hacendado,"Brick 1 L | 0,80 €/L",0.8,[' Zumos Lacteos Desayunos']
Yogur infantil cremoso de fresa Go-Lácteo +8 meses Hacendado,"4 ud. x 110 g | 5,682 €/kg",2.5,[' Frutas Lacteos Bebes']
Yogur infantil cremoso de manzana y pera Go-Lácteo +8 meses Hacendado,"4 ud. x 110 g | 5,682 €/kg",2.5,[' Frutas Lacteos Bebes']
Natillas infantiles con galletas Hacendado +6 meses,"2 ud. x 130 g | 6,154 €/kg",1.6,[' Lacteos Dulce Desayunos']
Postre lácteo infantil de plátano Yogolino +6 meses Nestlé,"4 ud. x 100 g | 6,875 €/kg",2.75,[' Frutas Lacteos Postres Bebes']
Yogur líquido infantil natural Go-Lácteo +6 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5,[' Lacteos Bebes']
Yogur líquido infantil con cereales y miel Go-Lácteo +8 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5,[' Cereales Lacteos Bebidas Bebes Desayunos']
Yogur líquido infantil de pera Go-Lácteo +6 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5,[' Frutas Lacteos Bebes']
Yogur líquido infantil de fresa y plátano Go-Lácteo +8 meses Hacendado,"Caja 4 ud. (360 g) | 6,945 €/kg",2.5,[' Frutas Lacteos Bebes']
Petit de chocolate con leche Hacendado,"6 ud. x 60 g | 3,056 €/kg",1.1,[' Zumos Lacteos Postres Dulce Desayunos Caprichos']
Petit Nesquik Nestlé,"6 ud. x 60 g | 4,028 €/kg",1.45,[' Lacteos']
Petit sabores Hacendado,"12 ud. x 60 g | 1,737 €/kg",1.25,[' Lacteos']
Danonino sabor fresa y plátano Danone,"6 ud. x 50 g | 4,634 €/kg",1.39,[' Frutas Lacteos']
Danonino sabor fresa Danone,"6 ud. x 50 g | 4,634 €/kg",1.39,[' Frutas Lacteos']
Petit de bolsillo de fresa Hacendado,"Caja 4 ud. (360 g) | 4,028 €/kg",1.45,[' Frutas Lacteos']
Yogur sin lactosa sabor fresa Hacendado,"4 ud. x 125 g | 2,80 €/kg",1.4,[' Frutas Lacteos']
Yogur sabor plátano Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6,[' Frutas Lacteos']
Yogur sabor coco Danone,"4 ud. x 120 g | 2,896 €/kg",1.39,[' Frutas Lacteos']
Yogur sabor limón Danone,"4 ud. x 120 g | 2,896 €/kg",1.39,[' Frutas Lacteos']
"Yogur con frutas Hacendado 2 con melocotón, 2 con fresas, 2 con pera y 2 con frutos silvestres","8 ud. x 125 g | 1,80 €/kg",1.8,[' Zumos Frutas Lacteos']
Yogur sabor coco Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6,[' Frutas Lacteos']
Yogur sabor macedonia Danone,"4 ud. x 120 g | 2,896 €/kg",1.39,[' Lacteos Postres']
Yogur cremoso Hacendado con melocotón y maracuya,"Bote 500 g | 1,84 €/kg",0.92,[' Frutas Lacteos']
Yogur cremoso Hacendado con frutos silvestres,"Bote 500 g | 1,84 €/kg",0.92,[' Lacteos']
Yogur sabor fresa Danone,"4 ud. x 120 g | 2,896 €/kg",1.39,[' Frutas Lacteos']
Yogur sabor macedonia Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6,[' Lacteos Postres']
Yogur sabor limón Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6,[' Frutas Lacteos']
Yogur sabor fresa Hacendado,"4 ud. x 125 g | 1,20 €/kg",0.6,[' Frutas Lacteos']
"Yogur sabores Hacendado 2 fresa, 2 plátano, 2 frambuesa, 2 coco, 2 limón, 2 piña, 2 vainilla y 2 galleta","16 ud. x 125 g | 1,075 €/kg",2.15,"[' Lacteos Postres Dulce Poco', 'habituales']"
Yogur natural de cabra Hacendado,"4 ud. x 125 g | 4,10 €/kg",2.05,[' Lacteos']
Kéfir natural sabor suave,"Bote 500 g | 2,80 €/kg",1.4,[' Lacteos']
Yogur natural Danone,"8 ud. x 120 g | 2,49 €/kg",2.39,[' Lacteos']
Yogur natural Hacendado,"6 ud. x 125 g | 1,134 €/kg",0.85,[' Lacteos']
"Yogur sin lactosa Hacendado cremoso, natural y azucarado","4 ud. x 125 g | 2,80 €/kg",1.4,[' Lacteos']
Yogur natural con azúcar de caña Hacendado,"6 ud. x 125 g | 1,134 €/kg",0.85,[' Lacteos Caprichos']
Kéfir bebible natural Hacendado 0% m.g,"Botella 250 g | 3,40 €/kg",0.85,[' Lacteos Proteicos']
Bebida Kéfir de coco Hacendado,"Botella 250 g | 4,20 €/kg",1.05,[' Frutas Lacteos Bebidas']
Bebida láctea sabor fresa Densia 0% m.g Vitalinea,"4 mini botellas x 100 g | 4,975 €/kg",1.99,[' Frutas Bebidas Proteicos']
Bebida láctea natural Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65,[' Bebidas Proteicos']
Bebida láctea tropical Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49,[' Zumos Lacteos Bebidas Proteicos']
Bebida láctea natural Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49,[' Lacteos Bebidas Proteicos']
Bebida láctea de fresa Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49,[' Frutas Lacteos Bebidas Proteicos']
Bebida láctea de fresa Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65,[' Frutas Bebidas Proteicos']
Bebida láctea sabor fresa Densia 0% m.g Vitalinea,"4 mini botellas x 100 g | 4,975 €/kg",1.99,[' Frutas Bebidas Proteicos']
Bebida láctea natural Actimel 0% m.g Danone,"12 mini botellas x 100 g | 4,575 €/kg",5.49,[' Lacteos Bebidas Proteicos']
Bebida láctea natural Cuidacol 0% azúcares añadidos Hacendado,"8 mini botellas x 100 g | 3,313 €/kg",2.65,[' Bebidas Proteicos']
Bebida láctea tropical Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49,[' Zumos Lacteos Bebidas Proteicos']
Bebida láctea de fresa Danacol 0% azúcares añadidos Danone,"10 mini botellas x 100 g | 5,49 €/kg",5.49,[' Frutas Lacteos Bebidas Proteicos']
